"ID","Description","Data_type","Method","N","Ncase","Gender_specific","URL"
"991","Frequency of strenuous sports in last 4 weeks","Ordered_Categorical","LR",5009,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/991.v1.1.fastGWA.gz"
"1001","Duration of strenuous sports","Ordered_Categorical","LR",5015,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/1001.v1.1.fastGWA.gz"
"20492","Longest period of mania or irritability","Ordered_Categorical","LR",5063,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20492.v1.1.fastGWA.gz"
"20148","Errors before selecting correct item in alphanumeric path (trail #2)","Ordered_Categorical","LR",5618,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20148.v1.1.fastGWA.gz"
"20248","Total errors traversing alphanumeric path (trail #2)","Ordered_Categorical","LR",5618,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20248.v1.1.fastGWA.gz"
"3786","Age asthma diagnosed","Continuous","LR",5696,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/3786.v1.1.fastGWA.gz"
"3751","Chest pain or discomfort when walking uphill or hurrying","Binary","LR",6021,1587,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/3751.v1.1.fastGWA.gz"
"20422","More irritable than usual during worst period of anxiety","Binary","LR",6035,4370,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20422.v1.1.fastGWA.gz"
"20417","Tense, sore, or aching muscles during worst period of anxiety","Binary","LR",6043,2358,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20417.v1.1.fastGWA.gz"
"20426","Restless during period of worst anxiety","Binary","LR",6152,3751,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20426.v1.1.fastGWA.gz"
"5663","Length of longest manic/irritable episode","Binary","LR",6187,1299,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/5663.v1.1.fastGWA.gz"
"22605","Work hours per week - exact value","Continuous","LR",6189,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/22605.v1.1.fastGWA.gz"
"20429","Easily tired during worst period of anxiety","Binary","LR",6202,4470,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20429.v1.1.fastGWA.gz"
"20423","Keyed up or on edge during worst period of anxiety","Binary","LR",6296,4985,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20423.v1.1.fastGWA.gz"
"20419","Difficulty concentrating during worst period of anxiety","Binary","LR",6322,4854,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20419.v1.1.fastGWA.gz"
"20540","Multiple worries during worst period of anxiety","Binary","LR",6377,4827,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20540.v1.1.fastGWA.gz"
"20538","Worried most days during period of worst anxiety","Binary","LR",6380,5683,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20538.v1.1.fastGWA.gz"
"20427","Frequent trouble falling or staying asleep during worst period of anxiety","Binary","LR",6445,5293,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20427.v1.1.fastGWA.gz"
"20543","Number of things worried about during worst period of anxiety","Binary","LR",6460,3672,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20543.v1.1.fastGWA.gz"
"20541","Difficulty stopping worrying during worst period of anxiety","Binary","MLM",6464,6108,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20541.v1.1.fastGWA.gz"
"20537","Frequency of difficulty controlling worry during worst period of anxiety","Ordered_Categorical","LR",6552,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20537.v1.1.fastGWA.gz"
"20539","Frequency of inability to stop worrying during worst period of anxiety","Ordered_Categorical","LR",6575,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20539.v1.1.fastGWA.gz"
"20428","Professional informed about anxiety","Binary","LR",6597,4072,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20428.v1.1.fastGWA.gz"
"20418","Impact on normal roles during worst period of anxiety","Ordered_Categorical","LR",6626,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/20418.v1.1.fastGWA.gz"
"5674","Severity of manic/irritable episodes","Binary","LR",6658,1940,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/5674.v1.1.fastGWA.gz"
"5832_2","Which eye(s) affected by hypermetropia (long sight): Left eye","Binary","LR",6694,465,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/5832_2.v1.1.fastGWA.gz"
"5832_1","Which eye(s) affected by hypermetropia (long sight): Right eye","Binary","MLM",6694,478,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/5832_1.v1.1.fastGWA.gz"
"5832_3","Which eye(s) affected by hypermetropia (long sight): Both eyes","Binary","LR",6694,5751,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/5832_3.v1.1.fastGWA.gz"
"20445","Depression possibly related to childbirth","Binary","LR",6865,897,"YES","https://ukb-wes.oss-us-west-1.aliyuncs.com/20445.v1.1.fastGWA.gz"
"40008","Age at cancer diagnosis","Continuous","LR",6874,NA,"","https://ukb-wes.oss-us-west-1.aliyuncs.com/40008.v1.1.fastGWA.gz"
