"ID","Description","Data_type","Method","N","Ncase","Gender_specific","URL"
"100001","Food weight","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100001.v1.1.fastGWA.gz"
"100002","Energy","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100002.v1.1.fastGWA.gz"
"100003","Protein","Continuous","LR",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100003.v1.1.fastGWA.gz"
"100004","Fat","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100004.v1.1.fastGWA.gz"
"100005","Carbohydrate","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100005.v1.1.fastGWA.gz"
"100006","Saturated fat","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100006.v1.1.fastGWA.gz"
"100007","Polyunsaturated fat","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100007.v1.1.fastGWA.gz"
"100008","Total sugars","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100008.v1.1.fastGWA.gz"
"100009","Englyst dietary fibre","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100009.v1.1.fastGWA.gz"
"100010","Portion size","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100010.v1.1.fastGWA.gz"
"100011","Iron","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100011.v1.1.fastGWA.gz"
"100012","Vitamin B6","Continuous","LR",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100012.v1.1.fastGWA.gz"
"100013","Vitamin B12","Continuous","LR",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100013.v1.1.fastGWA.gz"
"100014","Folate","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100014.v1.1.fastGWA.gz"
"100015","Vitamin C","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100015.v1.1.fastGWA.gz"
"100016","Potassium","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100016.v1.1.fastGWA.gz"
"100017","Magnesium","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100017.v1.1.fastGWA.gz"
"100018","Retinol","Continuous","MLM",62080,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100018.v1.1.fastGWA.gz"
"100019","Carotene","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100019.v1.1.fastGWA.gz"
"100021","Vitamin D","Continuous","LR",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100021.v1.1.fastGWA.gz"
"100022","Alcohol","Ordered_Categorical","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100022.v1.1.fastGWA.gz"
"100023","Starch","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100023.v1.1.fastGWA.gz"
"100024","Calcium","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100024.v1.1.fastGWA.gz"
"100025","Vitamin E","Continuous","MLM",64029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100025.v1.1.fastGWA.gz"
"1001","Duration of strenuous sports","Ordered_Categorical","LR",46319,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1001.v1.1.fastGWA.gz"
"100150","Drinking water intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100150.v1.1.fastGWA.gz"
"100160","Low calorie drink intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100160.v1.1.fastGWA.gz"
"100170","Fizzy drink intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100170.v1.1.fastGWA.gz"
"100190","Orange juice intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100190.v1.1.fastGWA.gz"
"100240","Coffee consumed","Binary","MLM",64001,45146,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100240.v1.1.fastGWA.gz"
"100250","Instant coffee intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100250.v1.1.fastGWA.gz"
"100260","Added milk to instant coffee","Binary","MLM",64001,26279,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100260.v1.1.fastGWA.gz"
"100270","Filtered coffee intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100270.v1.1.fastGWA.gz"
