ID,Description,Data_type,Method_WES,N_WES,N_Case_WES,N_Control_WES,Gender_specific,URL
84,Cancer year/age first occurred,Continuous,LR,4274,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/84.fastGWA.gz
134,Number of self-reported cancers,Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/134.fastGWA.gz
135,Number of self-reported non-cancer illnesses,Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/135.fastGWA.gz
136,"Number of operations, self-reported",Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/136.fastGWA.gz
1031,Frequency of friend/family visits,Ordered_Categorical,MLM,45942,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1031.fastGWA.gz
1110,Length of mobile phone use,Ordered_Categorical,MLM,45723,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1110.fastGWA.gz
1120,Weekly usage of mobile phone in last 3 months,Ordered_Categorical,MLM,40007,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1120.fastGWA.gz
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,Ordered_Categorical,MLM,40192,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1130.fastGWA.gz
1140,Difference in mobile phone use compared to two years previously,Ordered_Categorical,LR,39794,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1140.fastGWA.gz
1150_2,Usual side of head for mobile phone use: Right,Binary,MLM,40199,23175,17024,,http://data.qld.edu.au/public/Q1031/UKB_WES/1150_2.fastGWA.gz
1150_1,Usual side of head for mobile phone use: Left,Binary,LR,40199,14307,25892,,http://data.qld.edu.au/public/Q1031/UKB_WES/1150_1.fastGWA.gz
1150_3,Usual side of head for mobile phone use: Equally left and right,Binary,LR,40199,2717,37482,,http://data.qld.edu.au/public/Q1031/UKB_WES/1150_3.fastGWA.gz
1628,Alcohol intake versus 10 years previously,Ordered_Categorical,MLM,43057,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1628.fastGWA.gz
1737,Childhood sunburn occasions,Ordered_Categorical,MLM,35026,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1737.fastGWA.gz
1757,Facial ageing,Ordered_Categorical,MLM,42767,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/1757.fastGWA.gz
1920,Mood swings,Binary,MLM,45315,20246,25069,,http://data.qld.edu.au/public/Q1031/UKB_WES/1920.fastGWA.gz
1930,Miserableness,Binary,MLM,45544,19770,25774,,http://data.qld.edu.au/public/Q1031/UKB_WES/1930.fastGWA.gz
1940,Irritability,Binary,MLM,44350,12813,31537,,http://data.qld.edu.au/public/Q1031/UKB_WES/1940.fastGWA.gz
1950,Sensitivity / hurt feelings,Binary,MLM,44975,25101,19874,,http://data.qld.edu.au/public/Q1031/UKB_WES/1950.fastGWA.gz
1960,Fed-up feelings,Binary,MLM,45378,18187,27191,,http://data.qld.edu.au/public/Q1031/UKB_WES/1960.fastGWA.gz
1970,Nervous feelings,Binary,MLM,45111,10418,34693,,http://data.qld.edu.au/public/Q1031/UKB_WES/1970.fastGWA.gz
1980,Worrier / anxious feelings,Binary,MLM,45113,25323,19790,,http://data.qld.edu.au/public/Q1031/UKB_WES/1980.fastGWA.gz
1990,Tense / 'highly strung',Binary,LR,44926,7796,37130,,http://data.qld.edu.au/public/Q1031/UKB_WES/1990.fastGWA.gz
2000,Worry too long after embarrassment,Binary,LR,44504,21686,22818,,http://data.qld.edu.au/public/Q1031/UKB_WES/2000.fastGWA.gz
2010,Suffer from 'nerves',Binary,MLM,44603,9534,35069,,http://data.qld.edu.au/public/Q1031/UKB_WES/2010.fastGWA.gz
2020,"Loneliness, isolation",Binary,LR,45532,8045,37487,,http://data.qld.edu.au/public/Q1031/UKB_WES/2020.fastGWA.gz
2030,Guilty feelings,Binary,MLM,45151,13159,31992,,http://data.qld.edu.au/public/Q1031/UKB_WES/2030.fastGWA.gz
2040,Risk taking,Binary,MLM,44658,11961,32697,,http://data.qld.edu.au/public/Q1031/UKB_WES/2040.fastGWA.gz
2050,Frequency of depressed mood in last 2 weeks,Ordered_Categorical,MLM,44497,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2050.fastGWA.gz
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,Ordered_Categorical,MLM,44929,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2060.fastGWA.gz
2070,Frequency of tenseness / restlessness in last 2 weeks,Ordered_Categorical,MLM,44648,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2070.fastGWA.gz
2080,Frequency of tiredness / lethargy in last 2 weeks,Ordered_Categorical,MLM,45037,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2080.fastGWA.gz
2110,Able to confide,Ordered_Categorical,MLM,44866,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2110.fastGWA.gz
