ID,Description,Data_type,Method_WES,N_WES,N_Case_WES,N_Control_WES,Gender_specific,URL
134,Number of self-reported cancers,Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/134.v1.fastGWA.gz
135,Number of self-reported non-cancer illnesses,Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/135.v1.fastGWA.gz
136,Number of operations, self-reported,Ordered_Categorical,MLM,46191,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/136.v1.fastGWA.gz
1031,Frequency of friend/family visits,Ordered_Categorical,MLM,45942,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1031.v1.fastGWA.gz
1110,Length of mobile phone use,Ordered_Categorical,MLM,45723,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1110.v1.fastGWA.gz
1120,Weekly usage of mobile phone in last 3 months,Ordered_Categorical,MLM,40007,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1120.v1.fastGWA.gz
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,Ordered_Categorical,MLM,40192,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1130.v1.fastGWA.gz
1140,Difference in mobile phone use compared to two years previously,Ordered_Categorical,LR,39794,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1140.v1.fastGWA.gz
1150_2,Usual side of head for mobile phone use: Right,Binary,MLM,40199,23175,17024,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1150_2.v1.fastGWA.gz
1150_1,Usual side of head for mobile phone use: Left,Binary,LR,40199,14307,25892,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1150_1.v1.fastGWA.gz
1150_3,Usual side of head for mobile phone use: Equally left and right,Binary,LR,40199,2717,37482,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1150_3.v1.fastGWA.gz
1628,Alcohol intake versus 10 years previously,Ordered_Categorical,MLM,43057,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1628.v1.fastGWA.gz
1737,Childhood sunburn occasions,Ordered_Categorical,MLM,35026,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1737.v1.fastGWA.gz
1757,Facial ageing,Ordered_Categorical,MLM,42767,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1757.v1.fastGWA.gz
1920,Mood swings,Binary,MLM,45315,20246,25069,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1920.v1.fastGWA.gz
1930,Miserableness,Binary,MLM,45544,19770,25774,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1930.v1.fastGWA.gz
1940,Irritability,Binary,MLM,44350,12813,31537,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1940.v1.fastGWA.gz
1950,Sensitivity / hurt feelings,Binary,MLM,44975,25101,19874,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1950.v1.fastGWA.gz
1960,Fed-up feelings,Binary,MLM,45378,18187,27191,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1960.v1.fastGWA.gz
1970,Nervous feelings,Binary,MLM,45111,10418,34693,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1970.v1.fastGWA.gz
1980,Worrier / anxious feelings,Binary,MLM,45113,25323,19790,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1980.v1.fastGWA.gz
1990,Tense / 'highly strung',Binary,LR,44926,7796,37130,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/1990.v1.fastGWA.gz
2000,Worry too long after embarrassment,Binary,LR,44504,21686,22818,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2000.v1.fastGWA.gz
2010,Suffer from 'nerves',Binary,MLM,44603,9534,35069,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2010.v1.fastGWA.gz
2020,Loneliness, isolation,Binary,LR,45532,8045,37487,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2020.v1.fastGWA.gz
2030,Guilty feelings,Binary,MLM,45151,13159,31992,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2030.v1.fastGWA.gz
2040,Risk taking,Binary,MLM,44658,11961,32697,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2040.v1.fastGWA.gz
2050,Frequency of depressed mood in last 2 weeks,Ordered_Categorical,MLM,44497,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2050.v1.fastGWA.gz
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,Ordered_Categorical,MLM,44929,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2060.v1.fastGWA.gz
2070,Frequency of tenseness / restlessness in last 2 weeks,Ordered_Categorical,MLM,44648,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2070.v1.fastGWA.gz
2080,Frequency of tiredness / lethargy in last 2 weeks,Ordered_Categorical,MLM,45037,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2080.v1.fastGWA.gz
2110,Able to confide,Ordered_Categorical,MLM,44866,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2110.v1.fastGWA.gz
2188,Long-standing illness, disability or infirmity,Binary,MLM,45167,15256,29911,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2188.v1.fastGWA.gz
2207,Wears glasses or contact lenses,Binary,MLM,46153,41347,4806,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2207.v1.fastGWA.gz
2217,Age started wearing glasses or contact lenses,Continuous,MLM,40092,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2217.v1.fastGWA.gz
2227,Other eye problems,Binary,LR,46036,7160,38876,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2227.v1.fastGWA.gz
2247_0,Hearing difficulty/problems: No,Binary,MLM,43700,31527,12173,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2247_0.v1.fastGWA.gz
2247_1,Hearing difficulty/problems: Yes,Binary,MLM,43700,12172,31528,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2247_1.v1.fastGWA.gz
2257,Hearing difficulty/problems with background noise,Binary,MLM,45155,17221,27934,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2257.v1.fastGWA.gz
2267,Use of sun/uv protection,Ordered_Categorical,MLM,45854,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2267.v1.fastGWA.gz
2277,Frequency of solarium/sunlamp use,Ordered_Categorical,MLM,44018,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2277.v1.fastGWA.gz
2296,Falls in the last year,Ordered_Categorical,MLM,46101,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2296.v1.fastGWA.gz
2306,Weight change compared with 1 year ago,Ordered_Categorical,MLM,45563,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2306.v1.fastGWA.gz
2316,Wheeze or whistling in the chest in last year,Binary,MLM,45323,9978,35345,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2316.v1.fastGWA.gz
2335,Chest pain or discomfort,Binary,MLM,45765,7495,38270,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2335.v1.fastGWA.gz
2415,Had major operations,Binary,MLM,20943,13215,7728,YES,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2415.v1.fastGWA.gz
2453,Cancer diagnosed by doctor,Binary,MLM,46059,3838,42221,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2453.v1.fastGWA.gz
2463,Fractured/broken bones in last 5 years,Binary,MLM,45972,4336,41636,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2463.v1.fastGWA.gz
2473,Other serious medical condition/disability diagnosed by doctor,Binary,MLM,45415,9516,35899,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2473.v1.fastGWA.gz
2624,Frequency of heavy DIY in last 4 weeks,Ordered_Categorical,MLM,18811,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2624.v1.fastGWA.gz
2634,Duration of heavy DIY,Ordered_Categorical,LR,18845,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2634.v1.fastGWA.gz
2664_5,Reason for reducing amount of alcohol drunk: Other reason,Binary,LR,17544,9197,8347,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2664_5.v1.fastGWA.gz
2664_1,Reason for reducing amount of alcohol drunk: Illness or ill health,Binary,MLM,17544,1240,16304,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2664_1.v1.fastGWA.gz
2664_2,Reason for reducing amount of alcohol drunk: Doctor's advice,Binary,LR,17544,334,17210,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2664_2.v1.fastGWA.gz
2664_3,Reason for reducing amount of alcohol drunk: Health precaution,Binary,MLM,17544,5925,11619,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2664_3.v1.fastGWA.gz
2664_4,Reason for reducing amount of alcohol drunk: Financial reasons,Binary,LR,17544,848,16696,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2664_4.v1.fastGWA.gz
2844,Had other major operations,Binary,LR,24913,16661,8252,YES,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/2844.v1.fastGWA.gz
3393,Hearing aid user,Binary,MLM,41000,1277,39723,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3393.v1.fastGWA.gz
3404,Neck/shoulder pain for 3+ months,Binary,LR,9966,6894,3072,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3404.v1.fastGWA.gz
3571,Back pain for 3+ months,Binary,LR,11227,7821,3406,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3571.v1.fastGWA.gz
3606,Chest pain or discomfort walking normally,Binary,LR,7420,1236,6184,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3606.v1.fastGWA.gz
3637,Frequency of other exercises in last 4 weeks,Ordered_Categorical,LR,22563,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3637.v1.fastGWA.gz
3751,Chest pain or discomfort when walking uphill or hurrying,Binary,LR,6021,1587,4434,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3751.v1.fastGWA.gz
3761,Age hay fever, rhinitis or eczema diagnosed,Continuous,MLM,10109,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3761.v1.fastGWA.gz
3773,Knee pain for 3+ months,Binary,LR,9789,7767,2022,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3773.v1.fastGWA.gz
3799,Headaches for 3+ months,Binary,LR,8650,4134,4516,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/3799.v1.fastGWA.gz
4106,Heel bone mineral density (BMD) T-score, automated (left),Continuous,MLM,35200,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4106.v1.fastGWA.gz
4125,Heel bone mineral density (BMD) T-score, automated (right),Continuous,MLM,35235,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4125.v1.fastGWA.gz
4407,Average monthly red wine intake,Ordered_Categorical,MLM,8432,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4407.v1.fastGWA.gz
4418,Average monthly champagne plus white wine intake,Ordered_Categorical,LR,8424,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4418.v1.fastGWA.gz
