ID,Description,Data_type,Method,N,N_Case,N_Control,Gender_specific,URL
84,Cancer year/age first occurred,Continuous,LR,38669,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/84.v1.fastGWA.gz
134,Number of self-reported cancers,Ordered_Categorical,LR,456269,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/134.v1.fastGWA.gz
135,Number of self-reported non-cancer illnesses,Ordered_Categorical,MLM,456276,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/135.v1.fastGWA.gz
136,Number of operations, self-reported,Ordered_Categorical,MLM,456276,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/136.v1.fastGWA.gz
1031,Frequency of friend/family visits,Ordered_Categorical,MLM,453317,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1031.v1.fastGWA.gz
1110,Length of mobile phone use,Ordered_Categorical,MLM,450482,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1110.v1.fastGWA.gz
1120,Weekly usage of mobile phone in last 3 months,Ordered_Categorical,MLM,380866,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1120.v1.fastGWA.gz
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,Ordered_Categorical,MLM,382788,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1130.v1.fastGWA.gz
1140,Difference in mobile phone use compared to two years previously,Ordered_Categorical,MLM,376958,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1140.v1.fastGWA.gz
1150_2,Usual side of head for mobile phone use: Right,Binary,MLM,383280,221755,161525,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1150_2.v1.fastGWA.gz
1150_1,Usual side of head for mobile phone use: Left,Binary,MLM,383280,136443,246837,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1150_1.v1.fastGWA.gz
1150_3,Usual side of head for mobile phone use: Equally left and right,Binary,MLM,383280,25082,358198,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1150_3.v1.fastGWA.gz
